"TL0_1"	"TL0_2"	"TL0_3"	"TL1_1"	"TL1_2"	"TL1_3"
"LOC107821110"	1	1	0	0	0	1
"LOC107821166"	138	163	127	142	112	130
"LOC107821247"	0	0	0	0	0	0
"LOC107821333"	216	173	139	155	136	151
"LOC107821423"	3	19	0	2	2	2
"LOC107821509"	2522	1742	2201	577	736	689
"LOC107821759"	0	0	0	0	0	0
"LOC107821843"	0	0	0	0	0	0
"LOC107822012"	534	526	514	536	542	701
"LOC107821927"	403	564	467	433	356	516
"LOC107822102"	0	0	0	0	0	0
"LOC107822189"	32	32	62	23	19	28
"LOC107822275"	0	0	0	0	0	0
"LOC107822363"	0	0	0	0	0	0
"LOC107822449"	2236	1037	3367	1502	1955	1406
"LOC107822543"	863	598	941	898	1000	1286
"LOC107822617"	463	511	595	311	446	441
"LOC107822696"	88	102	89	85	86	100
"LOC107822786"	1825	1607	2199	1937	2248	1853
"LOC107823041"	2	1	6	2	2	2
"LOC107823100"	0	0	0	0	0	0
"LOC107823195"	4	11	18	5	1	0
"LOC107823271"	247	235	393	175	184	247
"LOC107823589"	0	0	0	0	0	2
"LOC107823443"	0	0	0	0	0	0
"LOC107823520"	2	0	6	0	0	0
"LOC107823676"	1418	1587	1387	1434	894	958
"LOC107823763"	493	489	595	346	418	447
"LOC107823856"	0	0	0	0	0	0
"LOC107823942"	0	0	0	0	0	0
"LOC107824027"	345	240	334	209	237	263
"LOC107824498"	32	46	38	60	70	55
"LOC107824420"	0	0	0	0	0	0
"LOC107824575"	0	0	0	0	0	0
"LOC107824717"	659	753	932	626	605	748
"LOC107824807"	168	158	153	152	185	167
"LOC107824899"	873	877	969	612	590	904
"LOC107825067"	1467	1351	1391	878	866	1005
"LOC107824982"	0	0	0	0	4	0
"LOC107824666"	2	4	0	1	0	2
"LOC107825163"	0	0	0	0	0	0
"LOC107825413"	32	8	33	2	0	2
"LOC107825497"	163	99	240	85	146	128
"LOC107825636"	0	0	0	0	0	0
"LOC107825720"	0	0	0	0	0	0
"LOC107825806"	215	219	335	212	263	329
"LOC107825896"	399	404	662	339	451	833
"LOC107826056"	218	253	266	177	258	226
"LOC107826143"	419	401	469	296	356	392
"LOC107826371"	606	588	619	432	464	380
"LOC107826283"	0	0	0	0	0	0
"TRNAN-GUU"	0	0	0	0	0	0
"LOC107826773"	0	0	0	0	0	0
"TRNAM-CAU"	0	0	0	0	0	0
"LOC107827119"	0	0	0	0	0	6
"LOC107827193"	340	374	384	199	232	309
"LOC107827523"	0	0	3	0	0	0
"LOC107827656"	0	0	0	0	0	0
"LOC107827745"	217	168	177	105	86	163
"LOC107827983"	86	106	153	158	127	233
"LOC107828075"	642	531	811	468	639	665
"LOC107828162"	18	4	18	2	0	26
"LOC107828331"	350	353	291	300	213	185
"LOC107828565"	0	0	0	0	0	0
"LOC107828486"	0	0	0	0	0	0
"LOC107828652"	116	73	110	40	48	78
"LOC107828845"	715	836	914	625	596	665
"LOC107828930"	512	378	484	337	456	314
"LOC107829014"	194	244	269	215	272	308
"LOC107829167"	241	268	250	191	265	267
"LOC107829252"	0	0	0	0	0	0
"LOC107829402"	377	401	488	297	409	463
"LOC107829342"	0	0	2	2	2	2
"LOC107829498"	2116	2219	2228	1261	1180	1451
"LOC107829614"	630	640	590	737	687	1038
"LOC107829699"	0	0	0	0	0	0
"LOC107829880"	0	0	0	0	0	0
"LOC107829970"	1631	1922	2015	1489	1764	2018
"LOC107830150"	233	259	318	231	161	193
"LOC107830051"	0	0	0	0	0	0
"LOC107830666"	191	107	301	1247	2491	2523
"LOC107830825"	23	29	14	23	14	26
"LOC107831035"	55	30	121	14	24	139
"LOC107831114"	27	42	32	345	255	320
"LOC107831290"	139	122	223	256	263	329
"LOC107831199"	3	6	6	0	7	2
"LOC107831622"	446	518	511	326	287	309
"LOC107831974"	144	144	121	72	83	86
"LOC107831535"	76	235	179	136	147	123
"LOC107832032"	48	18	4	2	2	9
"LOC107832087"	481	454	429	347	442	399
"LOC107832261"	5872	4857	4127	2267	2075	1764
"LOC107832171"	55	79	34	9	10	15
"LOC107832345"	0	0	0	0	0	0
"LOC107832505"	0	0	1	0	0	0
"LOC107832592"	43	36	57	7	46	77
"LOC107832684"	43	49	110	22	33	47
"LOC107759063"	483	494	643	420	462	433
"LOC107759231"	429	228	605	1	0	0
"LOC107759386"	29	16	26	39	42	49
"LOC107759740"	167	150	239	76	66	102
"LOC107759792"	0	0	0	0	0	0
"LOC107759850"	286	243	243	227	252	266
"LOC107760140"	60	80	70	316	285	338
"LOC107760235"	282	451	402	736	753	991
"LOC107760491"	785	925	989	697	674	839
"LOC107760664"	258	188	193	270	268	235
"LOC107760577"	0	1	6	24	3	6
"LOC107760916"	0	0	0	0	0	0
"LOC107761089"	0	1	1	0	0	1
"LOC107761003"	3	11	7	16	7	13
"LOC107761216"	522	380	609	494	534	741
"LOC107761445"	715	817	819	559	687	628
"LOC107761530"	0	0	4	8	6	2
"LOC107761614"	0	0	0	0	0	0
"LOC107761859"	92	93	99	61	78	103
"LOC107761940"	91	53	154	23	69	87
"LOC107762023"	1630	1348	1492	1356	1379	1465
"LOC107762195"	1	2	0	0	2	0
"LOC107762276"	19	20	25	54	74	49
"LOC107762708"	80	83	72	48	51	83
"LOC107762561"	8	18	19	2	16	19
"LOC107762416"	2	8	10	2	10	2
"LOC107762767"	20	10	51	18	13	35
"LOC107762505"	8	8	6	2	6	10
"LOC107762915"	0	0	2	2	0	0
"LOC107762996"	0	0	0	0	0	0
"LOC107763077"	0	0	0	0	0	0
"LOC107763237"	0	0	0	4	0	0
"LOC107763292"	8	6	2	4	0	5
"LOC107763357"	16	22	36	98	100	55
"LOC107763617"	0	0	0	0	0	0
"LOC107763676"	0	0	0	0	0	0
"LOC107763757"	185	136	734	46	75	110
"LOC107763816"	969	632	1084	574	494	945
"LOC107763898"	47	44	51	36	57	62
"LOC107764043"	70	58	141	73	149	176
"LOC107764131"	13	35	38	131	127	141
"LOC107764217"	23	28	30	36	22	39
"LOC107764309"	1744	1589	2031	962	1147	1400
"LOC107765017"	232	131	229	122	132	125
"LOC107765091"	440	440	466	319	339	377
"LOC107765203"	262	319	383	157	156	457
"LOC107765285"	222	120	223	403	290	385
"LOC107764927"	0	0	0	0	0	0
"LOC107765457"	0	0	4	2	2	2
"LOC107765621"	36	28	50	75	113	104
"LOC107765700"	1	0	0	6	4	0
"LOC107765784"	77	38	74	44	50	60
"TRNAP-AGG"	0	0	0	0	0	0
"LOC107765928"	0	0	0	0	0	0
"LOC107766010"	0	0	0	0	0	0
"LOC107766247"	0	0	0	0	0	0
"LOC107766334"	0	0	0	0	0	0
"LOC107766421"	491	577	437	340	396	560
"LOC107766646"	0	0	0	0	0	0
"LOC107766806"	123	163	153	113	142	122
"LOC107766721"	0	0	0	0	0	0
"LOC107766854"	327	455	440	542	516	496
"LOC107767048"	202	147	140	130	99	157
"LOC107767223"	101	90	106	157	232	242
"LOC107767292"	0	1	2	0	0	0
"LOC107767366"	73	104	127	301	313	403
"LOC107767519"	242	295	327	208	208	252
"LOC107767444"	455	316	632	330	355	406
"LOC107767595"	0	0	0	0	0	0
"LOC107767645"	0	0	0	0	0	0
"LOC107767803"	0	0	0	0	0	0
"LOC107767888"	0	0	0	0	0	0
"LOC107768064"	10	14	0	3	5	2
"LOC107767975"	2	0	0	0	2	12
"LOC107768122"	3	0	4	6	6	0
"LOC107768204"	2	0	2	0	4	6
"LOC107768353"	307	334	309	570	577	552
"LOC107768440"	135	160	169	97	104	204
"LOC107768667"	298	308	369	522	467	489
"LOC107768752"	0	0	0	0	0	0
"LOC107768590"	0	0	0	0	0	0
"LOC107768805"	0	0	0	0	0	0
"LOC107768891"	4	0	0	0	4	4
"LOC107769066"	828	648	984	1189	1309	1522
"LOC107768968"	0	0	2	0	0	4
"LOC107769149"	223	236	306	188	182	184
"LOC107769223"	0	0	0	0	0	0
