"TL0_1"	"TL0_2"	"TL0_3"	"TL1_1"	"TL1_2"	"TL1_3"
"LOC107814662"	138	110	129	94	185	146
"LOC107814661"	3097	3011	3023	1732	2016	1970
"LOC107814664"	134	144	236	69	110	165
"LOC107814665"	359	304	380	138	233	274
"LOC107814666"	0	2	0	0	0	0
"LOC107814667"	0	0	0	0	0	0
"LOC107814668"	510	442	577	298	371	367
"LOC107814669"	479	558	514	580	437	455
"LOC107814670"	2220	1926	2579	4862	5295	4361
"LOC107814671"	5148	2186	6593	1257	1224	1395
"LOC107814672"	0	0	0	0	0	0
"LOC107814673"	1103	1082	1366	1052	1216	1144
"LOC107814674"	3730	3958	4396	1682	1502	2245
"LOC107814675"	1	17	20	38	68	34
"LOC107814676"	190	149	298	244	282	364
"LOC107814677"	1746	1550	2014	2144	2408	2228
"LOC107814680"	1837	1921	2561	1653	1442	1590
"LOC107814681"	636	557	612	553	477	559
"LOC107814678"	0	0	0	0	0	0
"LOC107814683"	300	320	310	142	181	186
"LOC107814679"	16	4	24	2	4	16
"LOC107814684"	53	85	72	26	22	40
"LOC107814685"	79	74	85	89	58	91
"LOC107814687"	113	147	118	62	65	66
"LOC107814686"	0	0	0	0	0	0
"LOC107814688"	418	432	652	1534	1869	1685
"LOC107814690"	1196	952	1498	391	532	593
"LOC107814691"	35	36	55	81	93	167
"LOC107814692"	0	0	0	1	0	0
"LOC107814694"	252	182	223	117	124	150
"LOC107814695"	0	0	0	0	0	0
"LOC107814693"	0	0	0	0	0	0
"LOC107814698"	57	88	63	8	10	4
"LOC107814696"	4	0	2	2	0	0
"LOC107814697"	0	0	0	0	0	0
"LOC107814700"	14	13	21	8	3	2
"LOC107814701"	180	144	170	90	117	152
"LOC107814702"	135	145	194	178	148	168
"LOC107814703"	18	32	17	0	6	15
"LOC107814704"	5	1	0	2	4	4
"LOC107814706"	6	5	1	2	4	4
"LOC107814707"	35	37	84	68	89	171
"LOC107814708"	0	0	0	0	0	0
"LOC107814710"	351	350	400	176	179	204
"LOC107814709"	0	0	0	0	0	0
"LOC107814712"	122	110	161	72	92	121
"LOC107814714"	125	130	236	112	156	445
"LOC107814715"	53	66	72	51	89	100
"LOC107814711"	0	0	0	0	0	0
"LOC107814716"	131	149	144	197	108	176
"LOC107814717"	0	0	0	0	0	0
"LOC107814719"	111	113	155	111	126	139
"LOC107814720"	279	165	231	379	341	424
"LOC107814718"	12	9	3	12	16	6
"LOC107814721"	13	21	16	33	58	17
"LOC107814722"	42	55	86	61	45	40
"LOC107814724"	861	721	1030	577	673	885
"LOC107814723"	0	0	0	0	0	0
"LOC107814725"	1640	1299	1739	1075	1272	1453
"LOC107814726"	728	619	908	785	866	1162
"LOC107814727"	9	20	8	2	8	16
"LOC107814728"	2	0	0	0	0	0
"LOC107814729"	0	0	0	0	0	0
"LOC107814730"	0	0	0	0	0	0
"LOC107814732"	6	2	2	2	4	4
"LOC107814733"	23	38	29	18	33	41
"LOC107814736"	115	99	89	98	92	110
"LOC107814734"	2	2	8	5	4	14
"LOC107814737"	365	343	576	347	398	378
"LOC107814739"	0	1	1	0	0	0
"LOC107814738"	0	0	0	0	0	0
"LOC107814740"	0	0	0	0	0	0
"LOC107814742"	0	0	0	0	0	0
"LOC107814743"	50	26	42	80	80	82
"LOC107814744"	954	922	998	657	713	764
"LOC107814746"	77	62	66	27	28	34
"LOC107814747"	0	0	0	0	0	0
"LOC107814748"	148	215	249	124	136	165
"LOC107814750"	32	10	56	16	28	39
"LOC107814751"	309	286	546	115	167	212
"LOC107814752"	14	8	5	10	6	12
"LOC107814753"	293	341	452	102	96	116
"LOC107814755"	698	650	768	616	691	830
"LOC107814756"	4	10	0	2	4	4
"LOC107814757"	0	0	0	0	2	0
"LOC107814758"	0	0	0	0	0	0
"LOC107814759"	0	0	0	0	0	0
"LOC107814760"	56	51	100	52	56	78
"LOC107814761"	5962	2999	7005	2592	3372	5363
"LOC107814762"	1898	1704	2360	1223	1325	1358
"LOC107814763"	922	688	888	469	457	529
"LOC107814764"	0	2	0	2	2	0
"LOC107814765"	0	16	14	6	0	8
"LOC107814766"	327	354	389	315	369	439
"LOC107814767"	4	5	3	0	4	6
"LOC107814769"	78	58	91	55	60	74
"LOC107814770"	0	0	0	0	0	0
"LOC107814771"	16	6	34	20	12	10
"LOC107814774"	179	236	274	200	124	360
"LOC107814772"	0	0	0	4	6	8
"LOC107814775"	577	609	716	670	715	834
"LOC107814773"	0	0	0	0	0	0
"LOC107814777"	2515	2547	2850	1682	1979	2167
"LOC107814778"	120	135	141	76	118	83
"LOC107814779"	0	0	0	0	0	0
"LOC107814780"	134	106	183	168	134	159
"LOC107814781"	1066	1254	990	891	785	651
"LOC107814782"	1531	1229	1845	3339	2996	3089
"LOC107814783"	152	100	220	86	106	228
"LOC107814784"	1815	1479	2813	592	667	863
"TRNAN-GUU_5"	0	0	0	0	0	0
"LOC107814785"	192	299	472	8206	6694	7234
"LOC107814787"	120	118	127	102	95	135
"LOC107814789"	0	0	0	0	0	0
"LOC107814790"	0	0	0	0	0	0
"LOC107814792"	393	336	347	188	183	221
"LOC107814793"	104	56	96	59	88	159
"LOC107814795"	191	203	293	151	171	217
"LOC107814796"	338	279	239	74	52	77
"LOC107814797"	0	2	0	0	0	0
"LOC107814798"	497	931	292	350	383	471
"LOC107814800"	3635	2552	3645	3679	2888	3248
"LOC107814801"	0	0	0	0	0	0
"LOC107814802"	0	0	0	0	0	0
"LOC107814803"	0	0	0	0	0	0
"LOC107814804"	27	86	41	12	44	83
"LOC107814805"	156	239	251	159	157	160
"LOC107814806"	24	6	20	8	6	6
"LOC107814807"	22885	17102	19055	2061	2404	3464
"LOC107814809"	589	584	592	390	452	581
"LOC107814810"	411	393	438	229	295	391
"LOC107814811"	12	22	34	7	31	30
"LOC107814812"	1103	896	1261	493	666	849
"LOC107814813"	690	672	682	684	641	627
"LOC107814814"	38	47	42	19	49	20
"LOC107814815"	78	98	66	42	56	63
"LOC107814816"	212	298	220	190	157	173
"LOC107814817"	126	40	188	14	42	67
"LOC107814819"	18	52	39	62	44	32
"LOC107814818"	0	0	0	0	0	0
"LOC107814820"	25	19	12	24	16	21
"LOC107814823"	0	10	0	2	2	1
"LOC107814822"	0	0	0	0	0	0
"LOC107814825"	631	532	732	483	539	676
"LOC107814824"	2	0	0	0	0	8
"LOC107814826"	562	614	733	519	535	579
"LOC107814828"	333	524	362	219	286	305
"LOC107814830"	935	723	896	309	328	367
"LOC107814831"	3863	3583	4004	3547	3969	4341
"LOC107814834"	82	56	166	33	60	40
"LOC107814835"	6	0	14	2	2	2
"LOC107814833"	0	0	0	0	0	0
"LOC107814836"	2	0	2	0	2	0
"LOC107814838"	7	8	12	0	0	0
"LOC107814837"	0	0	0	0	0	0
"LOC107814839"	267	215	301	127	169	181
"LOC107814840"	2	4	2	6	20	6
"LOC107814841"	0	0	0	4	2	0
"LOC107814846"	2	0	0	0	0	0
"LOC107814842"	0	0	0	0	0	0
"LOC107814843"	0	0	0	0	0	0
"LOC107814844"	0	0	0	0	0	0
"LOC107814847"	532	538	532	284	315	370
"LOC107814845"	117	135	108	76	70	63
"LOC107814848"	19	4	10	2	2	2
"LOC107814849"	34	33	23	23	21	38
"LOC107814851"	562	458	548	243	303	343
"LOC107814853"	469	598	518	338	401	475
"LOC107814854"	424	431	482	359	386	458
"LOC107814856"	1092	843	978	722	912	1080
"LOC107814852"	0	0	0	0	0	0
"LOC107814857"	8	20	28	8	10	36
"LOC107814858"	1308	1147	1186	2966	2988	2714
"LOC107814860"	24	18	28	21	17	20
"LOC107814861"	474	464	608	404	410	431
"LOC107814859"	2	0	18	6	7	4
"LOC107814862"	179	37	740	28	75	54
"LOC107814863"	187	92	233	101	114	84
"LOC107814865"	11	2	11	0	0	1
"LOC107814866"	221	236	219	91	150	84
"LOC107814867"	1220	1399	1378	1062	1037	1150
"LOC107814868"	68	65	66	42	36	58
"LOC107814869"	0	0	0	0	0	0
"LOC107814870"	10	3	0	0	0	0
"LOC107814871"	304	141	314	16	55	80
"LOC107814872"	5	1	35	2	2	28
"LOC107814874"	0	0	0	0	0	0
"LOC107814875"	55	60	38	31	49	43
"LOC107814876"	0	0	0	0	0	0
"LOC107814878"	45	60	67	36	44	48
"LOC107814880"	155	148	116	133	153	128
"LOC107814881"	0	0	0	0	0	0
"LOC107814882"	0	0	2	2	0	0
"LOC107814883"	0	0	0	0	0	0
"LOC107814884"	714	694	823	689	611	735
"LOC107814886"	1029	800	1289	735	709	727
"LOC107814887"	791	481	1162	268	284	240
"LOC107814888"	520	618	547	318	333	404
"LOC107814890"	78	79	114	20	20	19
"LOC107814889"	16	34	32	43	57	36
"LOC107814891"	0	0	0	0	0	0
"LOC107814892"	0	0	0	0	0	0
"LOC107814893"	0	0	0	0	0	0
"LOC107814894"	37	26	106	19	32	46
"LOC107814899"	813	801	968	527	518	628
"LOC107814897"	0	0	0	0	0	0
"LOC107814898"	0	0	0	0	0	0
"LOC107814900"	2	2	6	2	0	1
"LOC107814901"	0	0	0	0	0	0
"LOC107814904"	117	130	119	107	123	143
"LOC107814902"	3	9	14	4	6	7
"LOC107814906"	272	207	281	141	151	218
"LOC107814905"	378	288	389	225	238	314
"LOC107814908"	3	2	4	3	2	0
"LOC107814907"	1	4	0	2	0	0
"LOC107814909"	10	27	14	16	6	11
"LOC107814911"	156	196	178	107	91	137
"LOC107814912"	167	104	128	114	134	135
"LOC107814914"	48	32	45	30	31	47
"LOC107814915"	0	0	0	0	0	0
"LOC107814916"	0	0	0	0	0	0
"LOC107814917"	136	100	125	80	64	97
"LOC107814918"	0	2	0	0	0	0
"LOC107814919"	0	0	0	0	0	0
"LOC107814921"	204	182	183	131	214	204
"LOC107814922"	260	322	370	196	241	269
"LOC107814923"	659	605	720	219	259	326
"LOC107814924"	0	0	0	0	0	0
"LOC107814927"	23	20	29	107	208	229
"LOC107814925"	0	0	0	0	1	0
"LOC107814926"	0	0	0	0	0	0
"LOC107814928"	291	161	480	123	212	295
"LOC107814929"	334	247	348	734	926	1675
"LOC107814932"	158	98	201	233	189	211
"LOC107814930"	0	0	0	0	0	0
"LOC107814933"	122	127	159	118	145	140
"LOC107814934"	0	0	0	0	0	0
"LOC107814935"	60	29	30	18	25	26
"LOC107814936"	1488	1551	1658	804	961	971
"LOC107814937"	0	0	0	0	0	0
"TRNAE-UUC_7"	0	0	0	0	0	0
"LOC107814938"	0	0	0	0	0	0
"LOC107814940"	3270	2422	2937	1369	1877	2192
"TRNAK-UUU_3"	0	0	0	0	0	0
"LOC107814943"	34	14	30	40	42	34
"LOC107814944"	1	6	0	0	0	0
"LOC107814945"	128	146	198	101	177	202
"LOC107814946"	302	264	354	271	293	367
"LOC107814947"	171	152	134	126	99	141
"LOC107814948"	1173	1117	1373	1520	1364	1536
"LOC107814950"	493	595	606	593	570	771
"LOC107814951"	1486	1512	1519	2168	2159	2194
"LOC107814952"	359	427	418	468	412	447
"LOC107814953"	0	0	0	0	0	0
"LOC107814954"	363	412	412	593	479	415
"LOC107814955"	86	81	84	102	59	68
"LOC107814956"	5	4	0	0	0	2
"LOC107814958"	2	1	2	0	0	0
"LOC107814957"	20	6	19	8	4	4
"TRNAI-AAU_8"	0	0	0	0	0	0
"LOC107814960"	1164	587	796	220	187	232
"LOC107814962"	0	4	6	3	2	5
"LOC107814963"	0	8	2	0	2	3
"LOC107814964"	59	79	43	94	107	92
"LOC107814967"	490	453	573	554	610	580
"LOC107814966"	5	1	0	2	0	0
"LOC107814968"	401	318	633	311	317	289
"LOC107814965"	0	6	7	6	0	6
"TRNAM-CAU_17"	0	0	0	0	0	0
"LOC107814973"	353	430	463	480	411	425
"LOC107814972"	13	65	24	6	6	6
"LOC107814971"	0	0	0	0	0	0
"LOC107814974"	8	4	4	2	2	8
"LOC107814975"	824	1195	755	516	265	261
"LOC107814976"	73	74	143	84	54	97
"LOC107814977"	0	0	0	0	0	0
"LOC107814978"	0	0	0	0	0	0
"LOC107814982"	35	43	23	30	32	49
"LOC107814979"	0	0	0	0	0	0
"LOC107814981"	0	0	2	1	0	6
"LOC107814983"	152	160	162	101	161	133
"LOC107814984"	2	10	22	8	7	19
"TRNAE-UUC_8"	0	0	0	0	0	0
"LOC107814988"	0	0	0	0	0	0
"LOC107814989"	232	161	176	104	111	133
"LOC107814990"	339	239	359	200	191	280
"LOC107814991"	2370	2570	2571	2121	2530	2552
"LOC107814992"	0	0	0	0	0	0
"LOC107814993"	0	0	0	0	0	0
"LOC107814996"	2	0	0	0	2	0
"LOC107814997"	8	9	12	6	8	12
"LOC107814995"	0	0	0	0	0	0
"LOC107814998"	46	44	45	38	21	44
"LOC107814999"	1550	1210	1283	504	559	515
"LOC107815000"	361	347	489	370	459	503
"LOC107815002"	0	0	0	0	0	0
"LOC107815003"	51	36	54	8	18	10
"LOC107815004"	1193	878	1292	1106	1059	1441
"LOC107815006"	0	0	0	0	0	0
"LOC107815007"	1678	1665	1831	1336	1290	1214
"LOC107815008"	0	0	0	0	0	0
"LOC107815012"	3	2	13	0	6	4
"LOC107815010"	1482	1297	1486	1365	1437	1436
"LOC107815013"	619	672	760	546	526	593
"LOC107815009"	0	0	0	0	0	0
"LOC107815014"	330	381	424	678	624	615
"LOC107815015"	1477	1607	1744	845	913	1023
"LOC107815016"	1576	1581	1872	1637	1616	1881
"LOC107815017"	0	0	0	0	0	0
"LOC107815018"	0	0	0	0	0	0
"LOC107815019"	3	8	26	13	18	16
"LOC107815021"	0	0	0	0	0	0
"LOC107815022"	233	149	250	207	231	269
"LOC107815023"	419	593	818	423	372	503
"LOC107815026"	32	43	49	38	19	31
"LOC107815024"	0	0	0	2	2	0
"LOC107815027"	271	322	322	261	244	302
"LOC107815028"	138	207	154	161	167	155
"TRNAV-CAC_2"	0	0	0	0	0	0
"LOC107815030"	0	0	0	0	0	0
"LOC107815032"	218	227	260	156	152	142
"LOC107815031"	0	0	0	0	0	0
"LOC107815033"	2049	1904	2454	1489	1750	2206
"TRNAL-CAA_5"	0	0	0	0	0	0
"LOC107815035"	193	294	292	65	117	166
"LOC107815037"	12	13	24	19	21	10
"LOC107815038"	213	229	253	211	219	317
"LOC107815039"	0	0	4	0	2	4
"LOC107815040"	28	29	32	24	36	50
"LOC107815041"	103	76	78	66	65	38
"LOC107815042"	389	300	335	47	83	83
"LOC107815044"	10	22	47	10	2	0
"LOC107815045"	8	11	34	6	1	7
"LOC107815047"	410	476	490	380	363	359
"LOC107815046"	47	28	29	29	41	32
"LOC107815048"	515	385	441	384	363	408
"LOC107815049"	697	574	913	415	498	611
"LOC107815051"	0	0	0	0	0	0
"LOC107815052"	0	0	0	0	0	0
"LOC107815054"	308	197	293	111	114	160
"LOC107815055"	607	590	764	682	636	828
"LOC107815057"	20	3	24	6	17	22
"LOC107815058"	24	8	16	19	18	25
"LOC107815059"	1738	1529	1828	1555	1786	1669
"LOC107815060"	1058	1236	966	422	424	476
"LOC107815061"	476	317	384	129	164	230
"LOC107815063"	12	19	25	13	13	4
"LOC107815064"	50	44	71	59	57	48
"LOC107815065"	35	33	38	27	34	35
"LOC107815066"	34	13	16	18	26	10
"LOC107815067"	0	0	0	0	0	0
"LOC107815068"	115	118	131	126	92	144
"LOC107815069"	17	18	23	41	36	46
"LOC107815070"	4391	3186	4496	6586	6982	6685
"LOC107815071"	6	2	6	26	39	7
"LOC107815073"	2	4	3	0	0	0
"LOC107815075"	309	309	432	140	207	224
"LOC107815074"	0	0	0	0	0	0
"LOC107815076"	0	0	0	0	0	0
"LOC107815077"	627	559	610	588	602	642
"LOC107815078"	6	11	8	10	6	4
"LOC107815079"	419	337	396	310	413	450
"LOC107815080"	27468	16409	27562	23112	23413	34640
"LOC107815081"	314	301	321	288	282	321
"LOC107815082"	278	268	356	260	262	351
"LOC107815083"	1614	1583	1575	1029	1155	1264
"LOC107815084"	179	241	242	241	165	209
"LOC107815085"	2601	2789	2579	2824	2243	2478
"TRNAW-CCA_9"	0	0	0	0	0	0
"LOC107815087"	0	6	14	0	5	13
"LOC107815088"	0	2	2	0	0	0
"LOC107815089"	29	34	43	45	37	56
"LOC107815093"	0	0	0	0	0	0
"LOC107815092"	43	41	52	16	18	27
"LOC107815091"	0	0	0	0	0	0
"LOC107815094"	119	85	105	103	117	189
"LOC107815095"	193	136	131	103	110	92
"LOC107815096"	954	768	1107	1894	1818	2272
"LOC107815099"	22	16	23	12	6	4
"LOC107815100"	765	635	968	1007	1078	1250
"LOC107815098"	0	0	1	0	0	0
"LOC107815101"	657	665	514	228	211	368
"LOC107815102"	9271	9090	9960	18015	17608	13487
"LOC107815103"	138	155	201	143	163	207
"LOC107815104"	60	69	66	84	50	46
"LOC107815106"	598	468	610	1354	1510	1294
"LOC107815107"	209	225	231	171	141	177
"LOC107815108"	0	0	0	0	0	0
"LOC107815110"	0	0	0	0	0	0
"LOC107815112"	31	47	44	16	18	17
"LOC107815115"	147	90	174	164	140	260
"LOC107815116"	0	1	0	0	0	0
"LOC107815117"	10	2	12	2	6	8
"LOC107815119"	2	4	6	0	2	10
"LOC107815120"	235	227	316	319	307	316
"LOC107815121"	126	89	130	67	60	111
"LOC107815118"	0	0	0	0	0	0
"LOC107815122"	438	414	453	322	334	400
"LOC107815123"	25	12	13	8	4	6
"LOC107815124"	6	2	4	2	0	6
"TRNAS-AGA"	0	0	0	0	0	0
"LOC107815126"	329	321	325	179	163	187
"LOC107815125"	213	76	280	21	24	68
"LOC107815128"	36	96	104	56	59	78
"LOC107815130"	4	0	0	12	35	6
"LOC107815131"	319	234	383	321	293	226
"LOC107815132"	241	217	260	196	198	198
"LOC107815133"	366	411	411	245	262	252
"LOC107815134"	116	34	149	169	200	222
"LOC107815135"	6	6	2	2	9	0
"LOC107815137"	122	66	115	43	42	98
"LOC107815139"	4	10	26	2	2	6
"LOC107815141"	500	469	585	366	485	509
"LOC107815140"	0	0	0	0	0	2
"LOC107815142"	3208	3082	3678	3279	3068	3695
"LOC107815144"	752	572	811	608	673	632
"LOC107815146"	193	207	296	271	345	423
"LOC107815145"	8	24	13	21	13	25
"LOC107815149"	97	68	113	23	18	21
"LOC107815148"	25	16	21	16	10	22
"LOC107815150"	331	242	319	351	289	257
"LOC107815151"	708	561	811	387	416	464
"LOC107815152"	0	0	0	4	0	2
"LOC107815153"	1883	967	2255	653	757	796
"LOC107815154"	118	129	112	71	56	96
"LOC107815155"	225	185	246	123	138	172
"LOC107815156"	74	50	75	74	78	65
"LOC107815157"	0	0	2	0	0	2
"LOC107815159"	28	19	27	67	60	36
"LOC107815160"	0	0	0	0	0	0
"LOC107815163"	102	101	107	81	87	108
"LOC107815162"	0	0	0	0	0	0
"LOC107815164"	18	24	16	20	16	36
"LOC107815165"	133	104	189	120	132	82
"LOC107815166"	586	769	946	669	788	1162
"LOC107815168"	0	0	0	4	4	8
"LOC107815169"	1203	1160	1320	795	1035	1095
"LOC107815170"	4	8	4	4	4	2
"LOC107815171"	16	10	25	40	33	52
"LOC107815174"	9353	4365	11278	3218	4052	4436
"LOC107815172"	4966	3948	5082	2771	3338	3651
"LOC107815175"	150	232	106	38	69	88
"LOC107815176"	92	79	126	223	156	195
"LOC107815177"	1245	901	935	72	81	247
"LOC107815179"	973	939	1189	1023	1088	1233
"LOC107815178"	2	0	0	0	0	0
"LOC107815180"	0	0	0	0	0	0
"LOC107815181"	774	742	712	533	567	579
"LOC107815182"	3483	1953	3526	5013	6915	7774
"LOC107815184"	0	0	2	0	0	0
"LOC107815185"	0	0	2	5	2	2
"LOC107815186"	0	0	0	0	0	0
"LOC107815187"	2	6	0	0	0	1
"LOC107815189"	24	50	22	22	16	21
"LOC107815190"	0	0	0	0	0	0
"LOC107815193"	69	59	102	243	215	243
"LOC107815192"	0	0	0	0	0	0
"LOC107815194"	706	541	702	944	838	956
"LOC107815195"	0	0	1	0	0	2
"LOC107815197"	0	0	2	0	0	0
"LOC107815196"	0	0	0	0	0	0
"LOC107815198"	385	299	514	409	452	525
"LOC107815199"	572	358	681	571	632	1271
"LOC107815200"	178	136	162	34	54	127
"LOC107815201"	0	0	0	0	0	0
"LOC107815202"	0	0	0	0	0	0
"LOC107815203"	915	831	1092	1438	1703	1518
"LOC107815205"	189	225	223	196	195	278
"LOC107815206"	30	14	24	16	12	15
"LOC107815207"	0	0	0	0	0	0
"LOC107815208"	0	0	0	0	0	0
"LOC107815209"	0	0	0	0	0	0
"LOC107815211"	3	2	4	2	8	4
"LOC107815210"	553	545	746	580	484	446
"LOC107815212"	0	0	0	0	0	0
"LOC107815213"	39	43	78	103	118	210
"LOC107815214"	273	223	290	185	198	324
"LOC107815215"	250	244	343	202	216	236
"LOC107815216"	205	185	194	135	165	179
"LOC107815217"	920	566	882	635	774	809
"LOC107815218"	449	492	696	669	584	558
"LOC107815219"	42	62	61	10	17	20
"LOC107815220"	36	45	49	19	27	28
"LOC107815221"	20	15	20	4	2	10
"LOC107815222"	3	12	2	3	1	25
"LOC107815223"	396	410	443	285	279	318
"LOC107815224"	1803	2111	2067	1451	1721	1705
"LOC107815227"	422	416	671	413	450	583
"LOC107815228"	0	2	6	2	4	8
"LOC107815229"	639	666	664	476	567	502
"LOC107815231"	287	342	291	291	310	300
"LOC107815233"	761	703	912	813	754	834
"LOC107815230"	0	0	0	0	0	0
"LOC107815234"	917	1459	718	2738	4805	2215
"LOC107815235"	619	511	724	225	253	317
"LOC107815236"	2354	2590	2670	2759	2438	2771
"LOC107815237"	869	894	828	751	807	495
"LOC107815238"	473	522	870	1640	2081	1967
"LOC107815240"	0	0	0	0	0	0
"LOC107815241"	0	0	0	0	0	0
"LOC107815242"	202	194	298	129	101	246
"LOC107815243"	206	242	252	123	106	134
"LOC107815244"	0	8	1	0	2	0
"LOC107815245"	0	0	0	0	0	0
"LOC107815246"	0	0	0	0	0	0
"LOC107815247"	358	321	348	234	235	304
"LOC107815248"	0	0	0	0	0	0
"LOC107815250"	77	51	98	71	66	104
"LOC107815251"	3	2	10	2	3	2
"LOC107815252"	11	6	17	20	16	35
"LOC107815253"	0	0	0	2	0	0
"LOC107815254"	116	117	206	137	148	207
"LOC107815255"	0	0	0	0	0	0
"LOC107815256"	12	22	30	2	4	8
"LOC107815257"	748	711	1472	948	1587	2339
"LOC107815258"	0	0	0	0	0	0
"LOC107815259"	2277	1320	2929	4239	4638	4601
"LOC107815261"	0	0	0	0	0	0
"LOC107815263"	476	278	446	208	207	234
"LOC107815262"	0	0	0	0	0	0
"LOC107815264"	179	168	210	84	119	180
"LOC107815266"	1523	1288	1262	658	653	721
"LOC107815265"	49	26	44	21	16	14
"LOC107815267"	0	0	0	0	0	0
"LOC107815268"	2	4	0	2	6	2
"LOC107815269"	0	0	0	0	0	0
"LOC107815271"	3980	3042	3416	452	491	484
"LOC107815272"	218	191	242	84	117	154
"LOC107815273"	1228	469	1164	182	164	148
"TRNAT-AGU_2"	0	0	0	0	0	0
"LOC107815277"	2	10	2	4	4	0
"LOC107815276"	1064	454	984	295	247	522
"LOC107815278"	154	185	231	142	160	107
"LOC107815275"	2	0	0	0	0	0
"LOC107815279"	0	4	2	0	11	16
"LOC107815280"	0	0	0	0	0	0
"LOC107815281"	0	0	0	0	0	0
"LOC107815282"	45	51	99	31	19	38
"LOC107815284"	0	0	0	0	0	0
"LOC107815285"	187	210	279	155	214	192
"LOC107815286"	580	477	456	690	757	563
"LOC107815287"	1069	1993	894	859	915	1121
"LOC107815288"	209	144	258	124	114	147
"LOC107815289"	0	0	0	0	0	0
"LOC107815290"	0	0	0	0	0	0
"LOC107815292"	2	26	24	8	6	9
"LOC107815294"	96	105	169	44	56	45
"LOC107815295"	0	0	0	0	0	0
"LOC107815296"	0	0	0	0	0	0
"LOC107815297"	476	484	545	334	348	383
"LOC107815299"	0	0	0	0	0	0
"LOC107815298"	1	0	0	0	0	0
"LOC107815302"	526	432	501	365	358	366
"LOC107815301"	21	18	21	10	2	11
"LOC107815304"	29	11	31	6	5	19
"LOC107815305"	32	32	55	2	25	63
"LOC107815306"	1	0	0	2	0	2
"LOC107815307"	2	10	3	4	2	3
"LOC107815308"	57	61	76	32	67	78
"LOC107815309"	1	0	6	6	2	0
"LOC107815311"	0	0	0	0	0	0
"LOC107815312"	0	0	0	0	0	0
"LOC107815314"	15	78	52	64	46	86
"LOC107815315"	248	224	204	145	177	215
"LOC107815316"	29	30	25	46	39	40
"LOC107815317"	204	124	221	167	212	263
"LOC107815318"	0	0	0	0	0	0
"LOC107815319"	95	65	101	69	65	127
"LOC107815321"	216	194	196	172	236	233
"LOC107815322"	42	39	38	31	25	23
"LOC107815323"	0	0	0	0	0	0
"LOC107815324"	194	128	177	191	184	205
"LOC107815325"	0	0	4	0	0	0
"LOC107815326"	1318	1269	1654	1144	1253	1294
"LOC107815328"	0	0	0	0	0	0
"LOC107815329"	0	0	0	0	0	0
"LOC107815330"	2	6	0	3	0	0
"LOC107815331"	195	243	194	191	189	228
"LOC107815332"	4	0	14	0	4	10
"LOC107815333"	0	0	0	0	0	0
"LOC107815335"	121	97	104	78	55	66
"LOC107815334"	0	0	0	0	0	2
"LOC107815337"	89	108	125	50	56	58
"LOC107815339"	125	108	173	80	139	198
"LOC107815338"	0	0	0	0	0	0
"LOC107815340"	167	218	197	213	209	295
"LOC107815341"	1	2	2	4	0	0
"LOC107815342"	49	8	93	112	162	149
"LOC107815343"	0	0	0	0	0	0
"LOC107815348"	695	675	732	272	247	337
"LOC107815349"	1696	1365	1999	5993	5702	6829
"LOC107815344"	0	1	0	0	0	0
"LOC107815353"	25201	18673	24929	34055	34133	37076
"LOC107815350"	32	49	31	26	8	33
"LOC107815346"	0	0	0	0	0	0
"LOC107815351"	1207	1247	1230	1476	1652	1622
"LOC107815352"	212	205	241	298	342	331
"LOC107815354"	45	22	32	19	34	27
"LOC107815355"	4025	3303	4809	3593	4106	4157
"LOC107815356"	511	346	593	314	380	405
"LOC107815357"	38	56	94	34	62	48
"LOC107815358"	427	423	556	326	400	462
"LOC107815360"	550	526	599	887	834	794
"LOC107815359"	439	296	578	204	250	329
"LOC107815362"	442	294	441	409	538	512
"LOC107815363"	235	277	369	411	349	435
"LOC107815365"	505	431	712	685	766	729
"LOC107815364"	14	25	18	13	17	23
"LOC107815366"	799	537	1036	570	700	880
"LOC107815347"	30	18	29	21	34	32
"LOC107815370"	74	105	421	58	175	487
"LOC107815372"	880	692	915	1091	1013	1209
"LOC107815373"	1963	1439	2193	1681	1874	2411
"LOC107815375"	49	80	58	71	78	57
"LOC107815374"	424	423	529	388	423	439
"LOC107815376"	0	0	0	0	0	0
"LOC107815377"	0	0	0	0	0	0
"LOC107815378"	118	102	152	56	54	68
"LOC107815379"	32	34	48	50	62	38
"LOC107815380"	0	0	0	0	1	2
"LOC107815381"	160	136	155	90	95	150
"LOC107815383"	174	196	435	424	497	785
"LOC107815384"	0	0	0	0	0	0
"LOC107815385"	0	0	0	0	0	0
"LOC107815388"	636	716	1559	544	596	748
"LOC107815386"	4	4	6	0	0	4
"LOC107815389"	460	306	462	323	364	418
"LOC107815392"	1	0	2	0	4	0
"LOC107815391"	167	201	271	272	316	342
"LOC107815395"	170	148	215	201	147	235
"LOC107815393"	927	1079	1099	350	185	473
"LOC107815396"	24	30	48	16	24	71
"LOC107815397"	646	565	748	258	221	391
"LOC107815387"	0	0	0	0	0	0
"LOC107815398"	4	3	2	4	0	0
"LOC107815400"	0	0	0	0	0	0
"LOC107815401"	283	342	317	376	399	363
"LOC107815399"	0	0	0	0	0	0
"LOC107815402"	94	76	84	59	66	85
"LOC107815403"	1066	802	1317	754	836	1166
"LOC107815405"	147	120	132	118	119	141
"LOC107815406"	30	22	37	32	58	59
"LOC107815407"	0	2	4	6	4	20
"LOC107815408"	2421	1937	2518	1414	1549	1890
